query_idx,flat_time_ms,ivf_time_ms,ivf_nprobe,flat_top1_idx,ivf_top1_idx,topK,recall_at_k
0,167.031,21.841,1,2,6368,5,0.000
1,1.050,0.123,1,11,11,5,1.000
2,1.001,0.156,1,24,6181,5,0.000
3,0.973,4.766,1,30,540,5,0.200
4,0.983,0.142,1,43,43,5,1.000
5,0.972,0.133,1,51,48,5,0.000
6,1.014,0.059,1,61,61,5,1.000
7,0.981,0.039,1,67,67,5,1.000
8,0.964,0.038,1,69,69,5,1.000
9,0.996,0.161,1,76,76,5,0.800
10,0.966,0.344,1,91,3090,5,0.000
11,1.017,0.681,1,98,98,5,1.000
12,1.032,0.151,1,110,110,5,1.000
13,0.973,1.912,1,113,113,5,0.800
14,0.999,0.197,1,119,119,5,0.400
15,0.982,0.139,1,123,123,5,0.800
16,0.981,0.173,1,136,136,5,1.000
17,0.973,2.626,1,145,145,5,1.000
18,0.983,0.035,1,152,152,5,1.000
19,0.969,1.519,1,159,159,5,0.400
20,0.978,0.116,1,169,169,5,1.000
21,0.965,0.042,1,7807,3776,5,0.400
22,0.966,0.125,1,187,187,5,1.000
23,0.980,0.042,1,201,201,5,0.800
24,0.965,0.206,1,208,214,5,0.200
25,0.964,0.026,1,218,666,5,0.000
26,0.969,0.042,1,230,230,5,1.000
27,0.961,0.153,1,239,234,5,0.200
28,0.965,0.160,1,242,242,5,1.000
29,0.973,0.035,1,252,252,5,0.800
30,0.966,0.193,1,254,1036,5,0.400
31,0.973,0.244,1,264,264,5,1.000
32,0.973,0.032,1,278,278,5,0.800
33,0.969,0.163,1,280,280,5,1.000
34,0.971,0.040,1,286,286,5,1.000
35,0.972,0.126,1,298,298,5,1.000
36,0.970,4.925,1,300,300,5,0.800
37,0.986,0.037,1,309,310,5,0.200
38,0.973,0.034,1,313,313,5,1.000
39,0.964,0.137,1,321,321,5,1.000
40,0.974,0.027,1,333,333,5,1.000
41,0.965,0.039,1,336,336,5,1.000
42,0.968,0.986,1,346,346,5,1.000
43,0.979,0.149,1,361,361,5,0.600
44,0.983,0.035,1,365,365,5,0.600
45,0.993,0.100,1,372,372,5,0.800
46,0.972,0.028,1,380,380,5,0.800
47,0.968,0.037,1,389,389,5,1.000
48,0.977,0.028,1,398,398,5,1.000
49,0.965,0.169,1,406,406,5,1.000
50,0.968,0.040,1,416,416,5,1.000
51,0.988,0.154,1,419,419,5,1.000
52,0.971,0.033,1,432,432,5,1.000
53,0.964,0.031,1,442,442,5,1.000
54,0.979,0.027,1,5546,5546,5,1.000
55,0.982,0.040,1,452,452,5,1.000
56,0.964,0.026,1,456,456,5,1.000
57,0.965,0.028,1,471,471,5,0.600
58,0.964,0.169,1,472,472,5,1.000
59,0.964,0.071,1,480,480,5,1.000
60,0.964,0.029,1,490,490,5,1.000
61,0.966,0.026,1,499,499,5,1.000
62,0.974,0.092,1,505,505,5,1.000
63,0.985,0.086,1,517,517,5,1.000
64,0.989,0.024,1,527,527,5,1.000
65,0.964,0.168,1,529,529,5,0.600
66,0.975,0.044,1,538,538,5,1.000
67,0.981,0.216,1,548,548,5,0.800
68,0.964,0.224,1,558,558,5,0.800
69,0.964,0.045,1,561,561,5,1.000
70,0.989,0.210,1,574,5904,5,0.000
71,0.971,0.116,1,579,579,5,0.800
72,0.965,0.027,1,586,586,5,1.000
73,0.981,0.034,1,591,591,5,1.000
